ダウンロードした時刻：2023/06/07 16:08:45

,横浜,横浜,横浜,横浜,横浜,横浜,横浜,横浜,横浜,横浜,横浜,横浜,横浜,横浜,横浜,横浜,横浜,横浜,横浜,横浜,横浜,横浜,横浜,横浜
2023/4/1,16.2,8,1,0,1,8,1,11.4,0,8,1,0,1,8,1,3.1,8,1,晴,8,1,曇後晴時々雨,8,1
2023/4/2,14.2,8,1,0.0,0,8,1,2.5,0,8,1,0,1,8,1,4.1,8,1,曇,8,1,曇,8,1
2023/4/3,13.2,8,1,0,1,8,1,7.5,0,8,1,0,1,8,1,4.3,8,1,晴時々曇,8,1,晴,8,1
2023/4/4,14.0,8,1,0,1,8,1,10.2,0,8,1,0,1,8,1,2.6,8,1,晴後一時曇,8,1,晴時々曇,8,1
2023/4/5,16.3,8,1,0,1,8,1,6.9,0,8,1,0,1,8,1,4.0,8,1,曇時々晴,8,1,曇,8,1
2023/4/6,18.5,8,1,0.0,0,8,1,5.6,0,8,1,0,1,8,1,6.9,8,1,雨後曇時々晴,8,1,曇時々晴一時雨,8,1
2023/4/7,18.6,8,1,20.5,0,8,1,0.3,0,8,1,0,1,8,1,7.5,8,1,雨時々曇,8,1,雨後曇一時晴,8,1
2023/4/8,16.0,8,1,1.5,0,8,1,4.6,0,8,1,0,1,8,1,3.8,8,1,晴後曇一時雨,8,1,晴一時雨,8,1
2023/4/9,12.0,8,1,0,1,8,1,12.2,0,8,1,0,1,8,1,3.2,8,1,晴,8,1,晴,8,1
2023/4/10,14.8,8,1,0,1,8,1,12.2,0,8,1,0,1,8,1,4.6,8,1,晴,8,1,晴一時曇,8,1
2023/4/11,18.5,8,1,0,1,8,1,11.4,0,8,1,0,1,8,1,6.1,8,1,晴,8,1,曇時々晴,8,1
2023/4/12,19.1,8,1,0,1,8,1,5.6,0,8,1,0,1,8,1,6.6,8,1,曇時々晴,8,1,晴,8,1
2023/4/13,16.2,8,1,0,1,8,1,11.8,0,8,1,0,1,8,1,4.2,8,1,晴,8,1,晴,8,1
2023/4/14,18.3,8,1,0,1,8,1,6.1,0,8,1,0,1,8,1,4.7,8,1,曇時々晴,8,1,曇後時々雨,8,1
2023/4/15,14.3,8,1,40.0,0,8,1,0.0,0,8,1,0,1,8,1,2.7,8,1,大雨,8,1,雨時々曇,8,1
2023/4/16,18.2,8,1,2.0,0,8,1,9.1,0,8,1,0,1,8,1,3.2,8,1,晴時々曇、雷を伴う,8,1,晴後雨時々曇、雷を伴う,8,1
2023/4/17,15.8,8,1,1.0,0,8,1,6.8,0,8,1,0,1,8,1,3.9,8,1,晴一時曇後一時雨,8,1,晴,8,1
2023/4/18,15.3,8,1,0,1,8,1,8.5,0,8,1,0,1,8,1,3.0,8,1,晴時々曇,8,1,曇後一時晴,8,1
2023/4/19,18.6,8,1,0,1,8,1,6.3,0,8,1,0,1,4,1,2.8,8,1,曇時々晴,8,1,曇後時々晴,8,1
2023/4/20,20.0,8,1,0,1,8,1,9.7,0,8,1,0,1,8,1,4.5,8,1,晴一時曇,8,1,晴後時々曇,8,1
2023/4/21,20.8,8,1,0.0,0,8,1,9.1,0,8,1,0,1,8,1,3.6,8,1,晴時々曇,8,1,曇一時雨,8,1
2023/4/22,15.2,8,1,0.0,0,8,1,0.0,0,8,1,0,1,8,1,2.8,8,1,曇一時雨,8,1,曇,8,1
2023/4/23,14.3,8,1,0,1,8,1,6.5,0,8,1,0,1,8,1,4.0,8,1,曇時々晴,8,1,曇一時晴,8,1
2023/4/24,13.7,8,1,0,1,8,1,1.2,0,8,1,0,1,8,1,3.7,8,1,曇,8,1,曇後一時晴,8,1
2023/4/25,14.6,8,1,0.0,0,8,1,4.6,0,8,1,0,1,8,1,3.0,8,1,曇時々晴,8,1,曇後時々雨,8,1
2023/4/26,16.4,8,1,25.0,0,8,1,0.1,0,8,1,0,1,8,1,4.4,8,1,雨後一時曇,8,1,曇時々雨一時晴,8,1
2023/4/27,17.5,8,1,0.5,0,8,1,13.0,0,8,1,0,1,8,1,4.6,8,1,晴,8,1,晴時々曇,8,1
2023/4/28,18.6,8,1,0,1,8,1,11.6,0,8,1,0,1,8,1,4.5,8,1,晴,8,1,晴時々曇,8,1
2023/4/29,19.4,8,1,0.0,0,8,1,9.6,0,8,1,0,1,8,1,6.1,8,1,晴時々曇,8,1,曇時々雨,8,1
2023/4/30,20.4,8,1,4.5,0,8,1,0.5,0,8,1,0,1,8,1,5.3,8,1,曇時々雨,8,1,曇一時雨,8,1
2023/5/1,18.1,8,1,0.0,0,8,1,7.0,0,8,1,0,1,8,1,3.2,8,1,曇一時雨後晴,8,1,晴一時雨後一時曇、雷を伴う,8,1
2023/5/2,17.6,8,1,0,1,8,1,13.0,0,8,1,0,1,8,1,4.6,8,1,晴,8,1,晴,8,1
2023/5/3,18.5,8,1,0,1,8,1,11.8,0,8,1,0,1,8,1,3.2,8,1,晴時々曇,8,1,晴時々曇,8,1
2023/5/4,19.9,8,1,0,1,8,1,12.8,0,8,1,0,1,8,1,3.9,8,1,晴,8,1,晴,8,1
2023/5/5,20.6,8,1,0,1,8,1,11.5,0,8,1,0,1,8,1,6.1,8,1,晴,8,1,曇,8,1
2023/5/6,22.5,8,1,0,1,8,1,11.2,0,8,1,0,1,8,1,9.1,8,1,晴時々曇、大風を伴う,8,1,曇一時晴後雨,8,1
2023/5/7,18.4,8,1,37.5,0,8,1,0.0,0,8,1,0,1,8,1,4.9,8,1,雨一時曇,8,1,大雨,8,1
2023/5/8,13.6,8,1,91.5,0,8,1,0.0,0,8,1,0,1,8,1,3.7,8,1,曇時々大雨,8,1,曇,8,1
2023/5/9,15.6,8,1,0,1,8,1,12.0,0,8,1,0,1,8,1,3.1,8,1,晴,8,1,晴,8,1
2023/5/10,17.4,8,1,0,1,8,1,11.9,0,8,1,0,1,8,1,2.9,8,1,晴後一時曇,8,1,曇後晴,8,1
2023/5/11,16.7,8,1,6.0,0,8,1,6.4,0,8,1,0,1,8,1,2.9,8,1,晴時々曇後雨、雷を伴う,8,1,曇一時雨,8,1
2023/5/12,17.3,8,1,0.0,0,8,1,6.9,0,8,1,0,1,8,1,3.8,8,1,曇時々晴,8,1,曇時々雨,8,1
2023/5/13,16.7,8,1,12.5,0,8,1,0.0,0,8,1,0,1,8,1,3.0,8,1,雨時々曇,8,1,曇後一時雨,8,1
2023/5/14,16.7,8,1,7.0,0,8,1,0.1,0,8,1,0,1,8,1,3.4,8,1,曇時々雨,8,1,雨時々曇,8,1
2023/5/15,16.6,8,1,11.5,0,8,1,0.0,0,8,1,0,1,8,1,3.2,8,1,雨時々曇,8,1,曇一時雨後晴,8,1
2023/5/16,19.6,8,1,0,1,8,1,13.3,0,8,1,0,1,8,1,3.1,8,1,晴,8,1,晴,8,1
2023/5/17,22.2,8,1,0.0,0,8,1,12.5,0,8,1,0,1,8,1,2.7,8,1,晴,8,1,晴,8,1
2023/5/18,24.6,8,1,0,1,8,1,11.9,0,8,1,0,1,8,1,3.7,8,1,晴,8,1,曇,8,1
2023/5/19,20.5,8,1,16.5,0,8,1,0.1,0,8,1,0,1,8,1,4.0,8,1,雨時々曇,8,1,雨,8,1
2023/5/20,19.0,8,1,4.0,0,8,1,1.7,0,8,1,0,1,8,1,3.2,8,1,雨後曇時々晴,8,1,晴後時々曇,8,1
2023/5/21,20.9,8,1,0,1,8,1,6.8,0,8,1,0,1,8,1,2.8,8,1,曇時々晴,8,1,曇後時々晴,8,1
2023/5/22,22.7,8,1,0.0,0,5,1,11.4,0,8,1,0,1,8,1,3.1,8,1,晴一時曇,8,1,雨時々曇,8,1
2023/5/23,14.6,8,1,15.5,0,5,1,0.0,0,8,1,0,1,8,1,5.2,8,1,雨時々曇,8,1,曇時々晴一時雨,8,1
2023/5/24,18.3,8,1,0,1,8,1,12.6,0,8,1,0,1,8,1,3.8,8,1,晴,8,1,晴後時々曇,8,1
2023/5/25,18.9,8,1,0,1,8,1,5.5,0,8,1,0,1,8,1,3.4,8,1,曇時々晴,8,1,晴時々曇,8,1
2023/5/26,20.1,8,1,0,1,8,1,5.5,0,8,1,0,1,8,1,3.9,8,1,曇後一時晴,8,1,曇後時々晴,8,1
2023/5/27,21.1,8,1,0,1,8,1,12.8,0,8,1,0,1,8,1,3.2,8,1,晴,8,1,曇時々晴,8,1
2023/5/28,21.4,8,1,0.0,0,8,1,6.4,0,8,1,0,1,8,1,4.6,8,1,曇一時晴,8,1,雨時々曇,8,1
2023/5/29,20.3,8,1,16.0,0,8,1,0.0,0,8,1,0,1,8,1,1.9,8,1,雨時々曇,8,1,雨後一時曇,8,1
2023/5/30,20.8,8,1,0.5,0,8,1,1.9,0,8,1,0,1,8,1,2.7,8,1,曇一時雨,8,1,曇後時々雨,8,1
2023/5/31,19.3,8,1,2.0,0,8,1,1.0,0,8,1,0,1,8,1,2.5,8,1,曇時々雨,8,1,晴時々曇,8,1
2023/6/1,21.0,8,1,0.0,0,8,1,8.5,0,8,1,0,1,8,1,3.5,8,1,曇時々晴,8,1,大雨時々曇,8,1
2023/6/2,22.0,8,1,117.0,0,8,1,0.0,0,8,1,0,1,8,1,6.2,8,1,大雨、雷を伴う,8,1,大雨,8,1
2023/6/3,20.0,8,1,91.5,0,8,1,4.1,0,8,1,0,1,8,1,3.5,8,1,大雨後曇時々晴,8,1,晴一時雨後曇,8,1
2023/6/4,22.1,8,1,0,1,8,1,8.8,0,8,1,0,1,8,1,3.6,8,1,晴後時々曇,8,1,曇,8,1
